"도시별","품목성질별",2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"인천광역시","상품",76.378,81.277,83.613,87.452,92.153,95.106,96.343,97.307,97.008,96.236,97.957,99.340,99.073,100.00,103.10,109.84,114.45,117.77
"인천광역시","농축수산물",65.614,66.706,70.332,77.309,83.076,85.582,85.792,82.788,83.999,86.635,90.527,95.286,93.817,100.00,108.75,113.16,116.75,125.81
"인천광역시","공업제품",77.460,83.480,85.305,87.955,92.265,94.910,95.742,97.133,98.075,97.713,99.162,100.262,100.054,100.00,102.47,109.20,112.06,113.82
"인천광역시","전기 · 가스 · 수도",-,-,-,105.013,110.579,116.390,122.265,127.538,116.187,104.290,103.172,99.909,101.669,100.00,96.27,108.40,130.02,135.75
"인천광역시","서비스",79.287,82.367,84.457,86.287,87.898,88.726,89.526,91.082,92.924,95.006,96.893,98.629,99.350,100.00,102.18,106.21,109.65,112.16
"인천광역시","집세",78.123,80.094,81.634,83.136,85.720,87.791,89.072,91.300,94.264,96.230,98.009,99.211,99.562,100.00,101.49,103.28,103.84,103.69
"인천광역시","공공서비스",92.604,95.118,97.128,98.265,97.372,98.392,98.757,99.662,100.780,102.514,103.126,102.996,102.060,100.00,101.28,101.45,102.48,104.73
"인천광역시","개인서비스",74.240,77.779,79.995,82.151,84.513,84.972,85.819,87.452,89.286,91.541,93.988,96.642,98.148,100.00,102.72,108.85,114.00,117.31
"광주광역시","총지수",78.855,82.595,84.681,87.173,90.726,92.347,93.540,95.041,95.306,96.180,98.191,99.345,99.564,100.00,102.57,107.79,111.76,114.57
"광주광역시","상품",76.691,81.592,83.943,88.001,93.208,95.957,96.848,98.009,97.197,96.618,98.705,99.548,99.249,100.00,103.25,110.31,114.47,117.10
"광주광역시","농축수산물",64.324,64.901,68.776,76.110,83.645,86.055,85.300,84.213,86.332,89.346,94.693,95.096,93.956,100.00,110.05,115.59,119.30,125.02
"광주광역시","공업제품",78.491,84.728,86.467,89.264,93.838,96.443,97.193,98.507,98.037,97.559,99.135,100.480,100.172,100.00,102.30,109.23,111.91,113.79
"광주광역시","전기 · 가스 · 수도",-,-,-,104.249,109.164,113.914,119.577,124.489,114.434,104.227,103.192,99.994,101.606,100.00,97.35,109.41,130.86,134.70
"광주광역시","서비스",80.234,83.142,85.055,86.440,88.521,89.134,90.576,92.357,93.517,95.743,97.693,99.143,99.868,100.00,101.93,105.41,109.23,112.17
"광주광역시","집세",83.220,84.019,84.758,85.171,87.094,91.752,95.004,96.326,97.513,98.114,98.767,99.376,99.669,100.00,100.82,101.91,102.23,102.51
"광주광역시","공공서비스",94.455,96.580,98.558,99.355,98.957,98.719,99.453,100.002,100.440,101.780,103.184,103.234,102.795,100.00,100.92,101.68,102.74,103.98
"광주광역시","개인서비스",74.046,77.594,79.674,81.401,84.461,84.711,86.159,88.556,90.033,92.885,95.266,97.421,98.695,100.00,102.55,107.62,113.19,117.32
"대전광역시","총지수",79.641,83.393,85.288,87.896,91.837,93.669,94.592,95.459,95.648,96.297,97.894,99.412,99.622,100.00,102.50,107.52,111.24,113.88
"대전광역시","상품",77.152,82.248,84.135,88.057,93.297,96.431,97.184,97.978,96.798,96.278,98.135,99.416,99.231,100.00,103.10,109.62,114.11,116.77
"대전광역시","농축수산물",64.681,65.517,69.516,76.527,84.002,87.159,85.236,82.404,82.784,85.876,91.110,94.248,93.669,100.00,108.84,112.13,116.41,121.84
"대전광역시","공업제품",78.983,85.317,86.466,89.264,93.935,96.658,97.477,98.640,98.248,97.954,99.282,100.620,100.330,100.00,102.42,109.12,112.02,113.91
"대전광역시","전기 · 가스 · 수도",-,-,-,103.292,108.232,114.590,119.837,124.577,114.434,104.245,103.021,99.918,101.469,100.00,97.51,109.10,129.83,134.51
"대전광역시","서비스",81.493,84.264,86.165,87.804,90.584,91.272,92.346,93.277,94.684,96.306,97.686,99.404,99.954,100.00,101.95,105.61,108.73,111.33
"대전광역시","집세",82.555,83.381,84.488,87.178,91.689,94.145,95.744,97.670,98.559,99.100,99.657,99.731,99.524,100.00,102.14,103.92,104.48,105.23
"대전광역시","공공서비스",96.469,98.351,100.294,101.019,100.859,101.288,101.708,101.927,102.762,103.883,104.499,104.734,103.217,100.00,100.70,101.36,100.50,102.51
